======================================================================
RHMC Production: L=4, 14 couplings x 1500 traj
  Clark-Kennedy 2-PF even-odd, 12-pole Zolotarev x^{-1/4}
  tau=0.062, eps=0.006250, MD steps=10
  Progress: 0 complete, 0 partial, 14 new
  Workers: 4, chunk: 10 traj
  Output: data/rhmc/L4_diag_seed42/g*.npz
======================================================================
  Spectrum: [0.152, 1261.2], kappa=8323

  Starting...

  g=1.654: 210/1500 traj (967s, 4.61s/traj, accept=1.00)
  g=0.500: 220/1500 traj (1011s, 4.59s/traj, accept=1.00)
  g=1.077: 220/1500 traj (1011s, 4.60s/traj, accept=1.00)
  g=2.231: 220/1500 traj (1032s, 4.69s/traj, accept=1.00)
  g=1.654: 220/1500 traj (1041s, 4.73s/traj, accept=1.00)
  g=0.500: 230/1500 traj (1081s, 4.70s/traj, accept=1.00)
  g=1.077: 230/1500 traj (1081s, 4.70s/traj, accept=1.00)
  g=2.231: 230/1500 traj (1103s, 4.80s/traj, accept=1.00)
  g=1.654: 230/1500 traj (1113s, 4.84s/traj, accept=1.00)
  g=0.500: 240/1500 traj (1150s, 4.79s/traj, accept=1.00)
  g=1.077: 240/1500 traj (1152s, 4.80s/traj, accept=1.00)
  g=2.231: 240/1500 traj (1176s, 4.90s/traj, accept=1.00)
  g=1.654: 240/1500 traj (1185s, 4.94s/traj, accept=1.00)
  g=1.077: 250/1500 traj (1224s, 4.90s/traj, accept=1.00)
  g=0.500: 250/1500 traj (1224s, 4.90s/traj, accept=1.00)
  g=2.231: 250/1500 traj (1251s, 5.01s/traj, accept=1.00)
  g=1.654: 250/1500 traj (1261s, 5.04s/traj, accept=1.00)
  g=0.500: 260/1500 traj (1296s, 4.98s/traj, accept=1.00)
  g=1.077: 260/1500 traj (1297s, 4.99s/traj, accept=1.00)
  g=2.231: 260/1500 traj (1324s, 5.09s/traj, accept=1.00)
  g=1.654: 260/1500 traj (1333s, 5.13s/traj, accept=1.00)
  g=1.077: 270/1500 traj (1368s, 5.07s/traj, accept=1.00)
  g=0.500: 270/1500 traj (1369s, 5.07s/traj, accept=1.00)
  g=2.231: 270/1500 traj (1396s, 5.17s/traj, accept=1.00)
  g=1.654: 270/1500 traj (1407s, 5.21s/traj, accept=1.00)
  g=1.077: 280/1500 traj (1438s, 5.14s/traj, accept=1.00)
  g=0.500: 280/1500 traj (1441s, 5.15s/traj, accept=1.00)
  g=2.231: 280/1500 traj (1471s, 5.25s/traj, accept=1.00)
  g=1.654: 280/1500 traj (1483s, 5.30s/traj, accept=1.00)
  g=1.077: 290/1500 traj (1510s, 5.21s/traj, accept=1.00)
  g=0.500: 290/1500 traj (1516s, 5.23s/traj, accept=1.00)
  g=2.231: 290/1500 traj (1545s, 5.33s/traj, accept=1.00)
  g=1.654: 290/1500 traj (1558s, 5.37s/traj, accept=1.00)
  g=1.077: 300/1500 traj (1581s, 5.27s/traj, accept=1.00)
  g=0.500: 300/1500 traj (1589s, 5.30s/traj, accept=1.00)
  g=2.231: 300/1500 traj (1617s, 5.39s/traj, accept=1.00)
  g=1.654: 300/1500 traj (1630s, 5.43s/traj, accept=1.00)
  g=1.077: 310/1500 traj (1651s, 5.33s/traj, accept=1.00)
  g=0.500: 310/1500 traj (1660s, 5.35s/traj, accept=1.00)
  g=2.231: 310/1500 traj (1690s, 5.45s/traj, accept=1.00)
  g=1.654: 310/1500 traj (1703s, 5.49s/traj, accept=1.00)
  g=1.077: 320/1500 traj (1722s, 5.38s/traj, accept=1.00)
  g=0.500: 320/1500 traj (1731s, 5.41s/traj, accept=1.00)
  g=2.231: 320/1500 traj (1763s, 5.51s/traj, accept=1.00)
  g=1.654: 320/1500 traj (1778s, 5.56s/traj, accept=1.00)
  g=1.077: 330/1500 traj (1795s, 5.44s/traj, accept=1.00)
  g=0.500: 330/1500 traj (1806s, 5.47s/traj, accept=1.00)
  g=2.231: 330/1500 traj (1837s, 5.57s/traj, accept=1.00)
  g=1.654: 330/1500 traj (1852s, 5.61s/traj, accept=1.00)
  g=1.077: 340/1500 traj (1867s, 5.49s/traj, accept=1.00)
  g=0.500: 340/1500 traj (1879s, 5.53s/traj, accept=1.00)
  g=2.231: 340/1500 traj (1909s, 5.61s/traj, accept=1.00)
  g=1.654: 340/1500 traj (1925s, 5.66s/traj, accept=1.00)
  g=1.077: 350/1500 traj (1938s, 5.54s/traj, accept=1.00)
  g=0.500: 350/1500 traj (1951s, 5.57s/traj, accept=1.00)
  g=2.231: 350/1500 traj (1981s, 5.66s/traj, accept=1.00)
  g=1.654: 350/1500 traj (1998s, 5.71s/traj, accept=1.00)
  g=1.077: 360/1500 traj (2010s, 5.58s/traj, accept=1.00)
  g=0.500: 360/1500 traj (2022s, 5.62s/traj, accept=1.00)
  g=2.231: 360/1500 traj (2053s, 5.70s/traj, accept=1.00)
  g=1.654: 360/1500 traj (2072s, 5.76s/traj, accept=1.00)
  g=1.077: 370/1500 traj (2079s, 5.62s/traj, accept=1.00)
  g=0.500: 370/1500 traj (2093s, 5.66s/traj, accept=1.00)
  g=2.231: 370/1500 traj (2123s, 5.74s/traj, accept=1.00)
  g=1.654: 370/1500 traj (2144s, 5.79s/traj, accept=1.00)
  g=1.077: 380/1500 traj (2149s, 5.66s/traj, accept=1.00)
  g=0.500: 380/1500 traj (2163s, 5.69s/traj, accept=1.00)
  g=2.231: 380/1500 traj (2195s, 5.78s/traj, accept=1.00)
  g=1.654: 380/1500 traj (2217s, 5.83s/traj, accept=1.00)
  g=1.077: 390/1500 traj (2221s, 5.69s/traj, accept=1.00)
  g=0.500: 390/1500 traj (2234s, 5.73s/traj, accept=1.00)
  g=2.231: 390/1500 traj (2269s, 5.82s/traj, accept=1.00)
